album_type;album_id;album_name;artist_id;artist_names;release_date;popularity
album;07eickGdRcQ5vW8nj3Npff;מיכל גבע;4kq3W7F83tezN1yHPXOrJj;Michal Geva;2010-02-11;4
single;07o7zs9nuy5KJNRTJO5NA4;Ārpusē;21kWQp35G2DvunDRNKlAZl;Tranzīts;2004-11-11;3
album;07rhLppaDYkFCBwOicJn8N;Chicago;0M7feW94vkumwtEX0v0pvx;Operatyvus;2020-01-29;3
single;07s0vmEkjT2rKBWYTRxn77;Изъян;2MmG0HycCuDEgQANztkgRs;Vaarka;2020-03-06;4
single;07va1g54rwH6iqhmShqUNv;Timpul;7v4EzC0wRPhWFHlByCMdtS;Zhao;2017-11-21;4
single;07xFTGfg6iBF2AMbYeVTKt;دوكه;2U9Wq183dC8s01VOinrjK3;Ammar Hosny;2020-10-04;2
single;084LCNZEkdtgbkPi4fDEOJ;Gyere Közelebb;6YVFO1kvJ7kxbYpbIZLXhJ;A Király Halott;2018-06-18;3
album;087SFYzvrlAoO7zJfUbdBd;Hlqb & Amfeti;0OAEf9q3CVWozC6OAidXPX;Big Sha;2007-12-27;3
single;088aFChhHtpF67xezAUwit;Potuvam;7p6LZlpYEUp8uUbBwJb6XN;Veniamin;2019-10-15;3
single;08AQqgFrJGVbiKDwqqVSF7;Chao;5aZTeJb1D2tL2V2wJRehO5;Tometo;2020-03-19;2
single;08Fmm8OUTN92zxHvljzJN4;Ghorba;1rPPkLfeyyeQQ2nR78nDSk;Keen;2020-11-23;3
single;08Hzc9GqDZlrPkHGFT38b9;Pakikale;1TIwKVUhQ2daAIEzs4VcKk;Godjako;2020-02-11;2
single;08I8zvoet0HidAs12Zfsri;Трите песни;0oYbfIj5GdrYfAG2e8jakW;Всеки Следващ Ден;2020-02-24;1
single;08JCYgEeDzlrakVy3VHpLn;Type X 2016 (Remix);2Mq3XWNMVUDR8enxXVT7dp;Double Jupiter;2016-12-18;2
album;08O9GcjyKTgpcQ4fGJ5YBt;Etnorokkmuusikal Salme;0SlwnrqPKgRTxZ2BphBl5q;Kaarel Orumägi;2015-11-20;1
album;08P6iKrw018tX1rxhVRWFf;The 4th Commandment 2020 Chapter 16;0DTHMLPSmN9DLQdi0Di5ND;The Godfathers Of Deep House SA;2020-05-25;4
album;08bZKb2OrsMItsyWFy8ung;Romana varonis;0rvTTPn2s3z8IZSwl1Se83;Māris Šverns;1997-01-01;1
